name,cluster
Abomasnow,10
Abra,16
Absol,7
Accelgor,9
Aerodactyl,1
Aggron,15
Aipom,18
Alakazam,16
Alcremie,6
Alomomola,5
Altaria,11
Amaura,10
Ambipom,18
Amoonguss,17
Ampharos,18
Annihilape,12
Anorith,14
Appletun,11
Applin,11
Araquanid,9
Arbok,18
Arboliva,17
Arcanine,13
Arceus,3
Archaludon,15
Archen,1
Archeops,1
Arctibax,10
Arctovish,5
Arctozolt,18
Ariados,9
Armaldo,14
Armarouge,13
Aromatisse,6
Aron,15
Arrokuda,5
Articuno,10
Audino,18
Aurorus,10
Avalugg,10
Axew,11
Azelf,16
Azumarill,6
Azurill,6
Bagon,11
Baltoy,16
Banette,2
Barbaracle,5
Barboach,5
Barraskewda,5
Bastiodon,15
Baxcalibur,10
Bayleef,17
Beartic,10
Beautifly,9
Beedrill,9
Beheeyem,16
Beldum,15
Bellibolt,18
Bellossom,17
Bellsprout,17
Bergmite,10
Bewear,12
Bibarel,5
Bidoof,18
Binacle,5
Bisharp,15
Blacephalon,2
Blastoise,5
Blaziken,13
Blipbug,9
Blissey,18
Blitzle,18
Boldore,14
Boltund,18
Bombirdier,1
Bonsly,14
Bouffalant,18
Bounsweet,17
Braixen,13
Brambleghast,2
Bramblin,2
Braviary,1
Breloom,17
Brionne,5
Bronzong,15
Bronzor,15
Bruxish,16
Budew,17
Buizel,5
Bulbasaur,17
Buneary,18
Bunnelby,18
Butterfree,9
Buzzwole,12
Cacnea,17
Cacturne,7
Calyrex,16
Camerupt,13
Capsakid,17
Carbink,6
Carkol,13
Carnivine,17
Carracosta,5
Carvanha,7
Cascoon,9
Castform,18
Caterpie,9
Celebi,16
Celesteela,3
Centiskorch,9
Ceruledge,2
Cetitan,10
Cetoddle,10
Chandelure,2
Chansey,18
Charcadet,13
Charizard,13
Charjabug,9
Charmander,13
Charmeleon,13
Chatot,1
Cherrim,17
Cherubi,17
Chesnaught,12
Chespin,17
Chewtle,5
Chi-Yu,7
Chien-Pao,7
Chikorita,17
Chimchar,13
Chimecho,16
Chinchou,5
Chingling,16
Cinccino,18
Cinderace,13
Clamperl,5
Clauncher,5
Clawitzer,5
Claydol,16
Clefable,6
Clefairy,6
Cleffa,6
Clobbopus,12
Clodsire,18
Cloyster,5
Coalossal,13
Cobalion,15
Cofagrigus,2
Combee,9
Combusken,13
Comfey,6
Conkeldurr,12
Copperajah,15
Corphish,5
Corsola,5
Corviknight,1
Corvisquire,1
Cosmoem,16
Cosmog,16
Cottonee,6
Crabominable,10
Crabrawler,12
Cradily,17
Cramorant,1
Cranidos,14
Crawdaunt,7
Cresselia,16
Croagunk,12
Crobat,1
Crocalor,13
Croconaw,5
Crustle,9
Cryogonal,10
Cubchoo,10
Cubone,14
Cufant,15
Cursola,2
Cutiefly,6
Cyclizar,18
Cyndaquil,13
Dachsbun,6
Darkrai,7
Dartrix,1
Darumaka,13
Decidueye,2
Dedenne,6
Deerling,18
Deino,11
Delcatty,18
Delibird,10
Delphox,13
Dewgong,5
Dewott,5
Dewpider,9
Dhelmise,2
Dialga,3
Diancie,6
Diggersby,18
Diglett,18
Dipplin,17
Ditto,8
Dodrio,1
Doduo,1
Dolliv,17
Dondozo,5
Donphan,14
Dottler,9
Doublade,15
Dracovish,3
Dracozolt,3
Dragalge,11
Dragapult,2
Dragonair,11
Dragonite,11
Drakloak,2
Drampa,11
Drapion,7
Dratini,11
Drednaw,5
Dreepy,2
Drifblim,2
Drifloon,2
Drilbur,14
Drizzile,5
Drowzee,16
Druddigon,11
Dubwool,18
Ducklett,1
Dugtrio,14
Dunsparce,18
Duosion,16
Duraludon,15
Durant,15
Dusclops,2
Dusknoir,2
Duskull,2
Dustox,9
Dwebble,9
Eelektrik,18
Eelektross,18
Eevee,18
Ekans,18
Eldegoss,17
Electabuzz,18
Electivire,18
Electrike,18
Electrode,18
Elekid,18
Elgyem,16
Emboar,13
Emolga,18
Empoleon,15
Entei,13
Escavalier,15
Espathra,16
Espeon,16
Espurr,16
Eternatus,4
Excadrill,15
Exeggcute,17
Exeggutor,17
Exploud,18
Falinks,12
Farigiraf,18
Fearow,1
Feebas,5
Fennekin,13
Feraligatr,5
Ferroseed,15
Ferrothorn,15
Fezandipiti,18
Fidough,6
Finizen,5
Finneon,5
Flaaffy,18
Flamigo,1
Flapple,11
Flareon,13
Fletchinder,1
Fletchling,1
Flittle,16
Floatzel,5
Floette,6
Floragato,17
Florges,6
Flygon,11
Fomantis,17
Foongus,17
Forretress,15
Fraxure,11
Frigibax,10
Frillish,2
Froakie,5
Frogadier,5
Froslass,10
Frosmoth,9
Fuecoco,13
Furfrou,18
Furret,18
Gabite,11
Gallade,12
Galvantula,9
Garbodor,18
Garchomp,11
Gardevoir,6
Garganacl,14
Gastly,2
Gastrodon,5
Genesect,15
Gengar,2
Geodude,14
Gholdengo,2
Gible,11
Gigalith,14
Girafarig,18
Glaceon,10
Glalie,10
Glameow,18
Glastrier,10
Gligar,14
Glimmet,18
Glimmora,18
Gliscor,14
Gloom,17
Gogoat,17
Golbat,1
Goldeen,5
Golduck,5
Golem,14
Golett,2
Golisopod,9
Golurk,2
Goodra,11
Goomy,11
Gorebyss,5
Gossifleur,17
Gothita,16
Gothitelle,16
Gothorita,16
Grafaiai,18
Granbull,6
Grapploct,12
Graveler,14
Greavard,2
Greedent,18
Greninja,7
Grimer,18
Grimmsnarl,6
Grookey,17
Grotle,17
Groudon,3
Grovyle,17
Growlithe,13
Grubbin,9
Grumpig,16
Gulpin,18
Gumshoos,18
Gurdurr,12
Guzzlord,3
Gyarados,5
Happiny,18
Hariyama,12
Hatenna,16
Hatterene,6
Hattrem,16
Haunter,2
Hawlucha,12
Haxorus,11
Heatmor,13
Heatran,13
Heliolisk,18
Helioptile,18
Heracross,12
Herdier,18
Hippopotas,14
Hippowdon,14
Hitmonchan,12
Hitmonlee,12
Hitmontop,12
Honchkrow,1
Honedge,15
Hoothoot,1
Hoppip,17
Horsea,5
Houndoom,13
Houndour,13
Houndstone,2
Huntail,5
Hydrapple,17
Hydreigon,11
Hypno,16
Igglybuff,6
Illumise,9
Impidimp,6
Incineroar,13
Infernape,13
Inkay,7
Inteleon,5
Ivysaur,17
Jellicent,2
Jigglypuff,6
Jirachi,16
Jolteon,18
Joltik,9
Jumpluff,17
Jynx,10
Kabuto,5
Kabutops,5
Kadabra,16
Kakuna,9
Kangaskhan,18
Karrablast,9
Kartana,15
Kecleon,18
Kilowattrel,1
Kingambit,15
Kingdra,11
Kingler,5
Kirlia,6
Klang,15
Klawf,14
Kleavor,9
Klefki,15
Klink,15
Klinklang,15
Koffing,18
Komala,18
Koraidon,12
Krabby,5
Kricketot,9
Kricketune,9
Krokorok,7
Krookodile,7
Kubfu,12
Kyogre,3
Kyurem,10
Lairon,15
Lampent,2
Lanturn,5
Lapras,10
Larvesta,9
Larvitar,14
Latias,16
Latios,16
Leafeon,17
Leavanny,9
Lechonk,18
Ledian,9
Ledyba,9
Lickilicky,18
Lickitung,18
Liepard,7
Lileep,17
Lilligant,17
Lillipup,18
Linoone,18
Litleo,13
Litten,13
Litwick,2
Lokix,9
Lombre,17
Lopunny,18
Lotad,17
Loudred,18
Lucario,12
Ludicolo,17
Lugia,16
Lumineon,5
Lunala,16
Lunatone,16
Lurantis,17
Luvdisc,5
Luxio,18
Luxray,18
Mabosstiff,7
Machamp,12
Machoke,12
Machop,12
Magby,13
Magcargo,13
Magearna,3
Magikarp,5
Magmar,13
Magmortar,13
Magnemite,15
Magneton,15
Magnezone,15
Makuhita,12
Malamar,7
Mamoswine,14
Manaphy,5
Mandibuzz,1
Manectric,18
Mankey,12
Mantine,5
Mantyke,5
Maractus,17
Mareanie,5
Mareep,18
Marill,6
Marowak,14
Marshadow,12
Marshtomp,5
Maschiff,7
Masquerain,9
Mawile,6
Medicham,12
Meditite,12
Meganium,17
Melmetal,15
Meltan,15
Meowscarada,7
Meowth,18
Mesprit,16
Metagross,15
Metang,15
Metapod,9
Mew,16
Mewtwo,16
Mienfoo,12
Mienshao,12
Mightyena,7
Milcery,6
Milotic,5
Miltank,18
Mimikyu,2
Minccino,18
Minun,18
Miraidon,3
Misdreavus,2
Mismagius,2
Moltres,13
Monferno,12
Morelull,6
Morgrem,6
Mothim,9
Mudbray,14
Mudkip,5
Mudsdale,14
Muk,18
Munchlax,18
Munkidori,18
Munna,16
Murkrow,1
Musharna,16
Nacli,14
Naclstack,14
Naganadel,3
Natu,1
Necrozma,3
Nickit,7
Nidoking,14
Nidoqueen,14
Nidorina,18
Nidorino,18
Nihilego,3
Nincada,9
Ninetales,13
Ninjask,9
Noctowl,1
Noibat,11
Noivern,11
Nosepass,14
Numel,13
Nuzleaf,7
Nymble,9
Obstagoon,7
Octillery,5
Oddish,17
Okidogi,12
Omanyte,5
Omastar,5
Onix,14
Oranguru,18
Orbeetle,9
Orthworm,15
Oshawott,5
Overqwil,7
Pachirisu,18
Palkia,3
Palossand,2
Palpitoad,5
Pancham,12
Pangoro,7
Panpour,5
Pansage,17
Pansear,13
Paras,17
Parasect,17
Passimian,12
Patrat,18
Pawmi,18
Pawmo,18
Pawmot,12
Pawniard,15
Pecharunt,2
Pelipper,1
Perrserker,15
Persian,18
Petilil,17
Phanpy,14
Phantump,2
Pheromosa,12
Phione,5
Pichu,18
Pidgeot,1
Pidgeotto,1
Pidgey,1
Pidove,1
Pignite,13
Pikachu,18
Pikipek,1
Piloswine,14
Pincurchin,5
Pineco,9
Pinsir,9
Piplup,5
Plusle,18
Poipole,18
Politoed,5
Poliwag,5
Poliwhirl,5
Poliwrath,5
Poltchageist,2
Polteageist,2
Ponyta,13
Poochyena,7
Popplio,5
Porygon,18
Porygon-Z,18
Porygon2,18
Primarina,6
Primeape,12
Prinplup,5
Probopass,15
Psyduck,5
Pupitar,14
Purrloin,7
Purugly,18
Pyroar,13
Pyukumuku,5
Quagsire,5
Quaquaval,12
Quaxly,5
Quaxwell,5
Quilava,13
Quilladin,17
Qwilfish,5
Raboot,13
Rabsca,9
Raichu,18
Raikou,3
Ralts,6
Rampardos,14
Rapidash,13
Raticate,18
Rattata,18
Rayquaza,3
Regice,10
Regidrago,3
Regieleki,3
Regigigas,3
Regirock,14
Registeel,15
Relicanth,5
Rellor,9
Remoraid,5
Reshiram,3
Reuniclus,16
Revavroom,15
Rhydon,14
Rhyhorn,14
Rhyperior,14
Ribombee,6
Rillaboom,17
Riolu,12
Rockruff,14
Roggenrola,14
Rolycoly,14
Rookidee,1
Roselia,17
Roserade,17
Rotom,2
Rowlet,1
Rufflet,1
Runerigus,2
Sableye,7
Salamence,11
Salandit,13
Salazzle,13
Samurott,5
Sandaconda,14
Sandile,7
Sandshrew,14
Sandslash,14
Sandygast,2
Sawk,12
Sawsbuck,18
Scatterbug,9
Sceptile,17
Scizor,15
Scolipede,9
Scorbunny,13
Scovillain,17
Scrafty,7
Scraggy,7
Scyther,9
Seadra,5
Seaking,5
Sealeo,10
Seedot,17
Seel,5
Seismitoad,5
Sentret,18
Serperior,17
Servine,17
Seviper,18
Sewaddle,9
Sharpedo,7
Shedinja,2
Shelgon,11
Shellder,5
Shellos,5
Shelmet,9
Shieldon,15
Shiftry,7
Shiinotic,6
Shinx,18
Shroodle,18
Shroomish,17
Shuckle,9
Shuppet,2
Sigilyph,1
Silcoon,9
Silicobra,14
Silvally,3
Simipour,5
Simisage,17
Simisear,13
Sinistcha,2
Sinistea,2
Sizzlipede,9
Skarmory,1
Skeledirge,13
Skiddo,17
Skiploom,17
Skitty,18
Skorupi,9
Skrelp,5
Skuntank,18
Skwovet,18
Slaking,18
Slakoth,18
Sliggoo,11
Slowbro,5
Slowking,5
Slowpoke,5
Slugma,13
Slurpuff,6
Smeargle,18
Smoliv,17
Smoochum,10
Sneasel,7
Sneasler,12
Snivy,17
Snom,9
Snorlax,18
Snorunt,10
Snover,10
Snubbull,6
Sobble,5
Solgaleo,15
Solosis,16
Solrock,16
Spearow,1
Spectrier,2
Spewpa,9
Spheal,10
Spidops,9
Spinarak,9
Spinda,18
Spiritomb,2
Spoink,16
Sprigatito,17
Spritzee,6
Squirtle,5
Stakataka,3
Stantler,18
Staraptor,1
Staravia,1
Starly,1
Starmie,16
Staryu,5
Steelix,15
Steenee,17
Stonjourner,14
Stoutland,18
Stufful,12
Stunfisk,18
Stunky,18
Sudowoodo,14
Suicune,3
Sunflora,17
Sunkern,17
Surskit,9
Swablu,1
Swadloon,9
Swalot,18
Swampert,5
Swanna,1
Swellow,1
Swinub,14
Swirlix,6
Swoobat,1
Sylveon,6
Tadbulb,18
Taillow,1
Talonflame,1
Tandemaus,18
Tangela,17
Tangrowth,17
Tarountula,9
Tauros,18
Teddiursa,18
Tentacool,5
Tentacruel,5
Tepig,13
Terrakion,12
Thievul,7
Throh,12
Thwackey,17
Timburr,12
Ting-Lu,7
Tinkatink,6
Tinkaton,6
Tinkatuff,6
Tirtouga,5
Toedscool,17
Toedscruel,17
Togedemaru,15
Togekiss,6
Togepi,6
Togetic,6
Torchic,13
Torkoal,13
Torracat,13
Torterra,17
Totodile,5
Toucannon,1
Toxapex,5
Toxel,18
Toxicroak,12
Tranquill,1
Trapinch,14
Treecko,17
Trevenant,2
Tropius,17
Trubbish,18
Trumbeak,1
Tsareena,17
Turtonator,11
Turtwig,17
Tympole,5
Tynamo,18
Typhlosion,13
Tyranitar,7
Tyrantrum,11
Tyrogue,12
Tyrunt,11
Umbreon,7
Unfezant,1
Unown,16
Ursaluna,14
Ursaring,18
Uxie,16
Vanillish,10
Vanillite,10
Vanilluxe,10
Vaporeon,5
Varoom,15
Veluza,16
Venipede,9
Venomoth,9
Venonat,9
Venusaur,17
Vespiquen,9
Vibrava,11
Victini,16
Victreebel,17
Vigoroth,18
Vikavolt,9
Vileplume,17
Virizion,12
Vivillon,9
Volbeat,9
Volcanion,3
Volcarona,13
Voltorb,18
Vullaby,1
Vulpix,13
Wailmer,5
Wailord,5
Walrein,10
Wartortle,5
Watchog,18
Wattrel,1
Weavile,7
Weedle,9
Weepinbell,17
Weezing,18
Whimsicott,6
Whirlipede,9
Whiscash,5
Whismur,18
Wigglytuff,6
Wiglett,5
Wimpod,9
Wingull,1
Wo-Chien,7
Wobbuffet,16
Woobat,1
Wooloo,18
Wooper,5
Wugtrio,5
Wurmple,9
Wynaut,16
Wyrdeer,18
Xatu,1
Xerneas,3
Xurkitree,3
Yamask,2
Yamper,18
Yanma,9
Yanmega,9
Yungoos,18
Yveltal,3
Zangoose,18
Zapdos,3
Zarude,7
Zebstrika,18
Zekrom,3
Zeraora,3
Zigzagoon,18
Zoroark,7
Zorua,7
Zubat,1
Zweilous,11
